claim_id;policy_id;customer_id;anonymous_customer;vehicle_id;provider_id;line;coverage;city;claim_date;report_date;claim_amount;narrative;recent_customer_change
CLM-0161;POL-0110;CUST-090;Asegurado-090;;PRV-006;Vida;Perdida total por robo;Manta;2025-04-25;2025-04-30;1025.03;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0162;POL-0046;CUST-054;Asegurado-054;;PRV-003;Hogar;Choque parcial;Santo Domingo;2025-11-08;2025-11-13;16310.05;Accidente con tercero identificado y soporte fotografico completo.;False
CLM-0163;POL-0021;CUST-031;Asegurado-031;;PRV-001;Hogar;Danos a maquinaria;Loja;2025-12-20;2025-12-25;7794.69;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0164;POL-0081;CUST-007;Asegurado-007;;PRV-002;Hogar;Gastos medicos;Quito;2025-09-27;2025-10-07;4971.78;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0165;POL-0022;CUST-004;Asegurado-004;VEH-013;PRV-006;Vehiculos;Danos a maquinaria;Guayaquil;2026-01-17;2026-01-21;26205.98;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0166;POL-0103;CUST-043;Asegurado-043;;PRV-010;Vida;Perdida total por robo;Ambato;2025-12-25;2026-01-11;99177.7;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0167;POL-0039;CUST-029;Asegurado-029;;PRV-009;Hogar;Choque parcial;Santo Domingo;2026-01-16;2026-01-26;105749.63;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0168;POL-0110;CUST-090;Asegurado-090;;PRV-007;Vida;Gastos medicos;Manta;2025-08-20;2025-08-20;423.75;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0169;POL-0014;CUST-086;Asegurado-086;;PRV-006;Vida;Danos a maquinaria;Cuenca;2025-07-02;2025-07-22;53687.15;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0170;POL-0067;CUST-067;Asegurado-067;;PRV-001;Salud;Gastos medicos;Manta;2025-11-19;2025-11-25;4418.98;Reporte de robo en parqueadero residencial durante la noche.;False
CLM-0171;POL-0112;CUST-012;Asegurado-012;;PRV-006;Salud;Perdida total por robo;Machala;2025-09-23;2025-09-27;11094.28;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0172;POL-0129;CUST-070;Asegurado-070;VEH-041;PRV-007;Vehiculos;Robo domiciliario;Ambato;2026-05-31;2026-05-31;2532.69;Atencion medica por emergencia con facturas y epicrisis adjuntas.;False
CLM-0173;POL-0119;CUST-058;Asegurado-058;;PRV-007;Empresarial;Gastos medicos;Santo Domingo;2025-09-27;2025-10-12;27022.21;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;True
CLM-0174;POL-0089;CUST-001;Asegurado-001;;PRV-003;Vida;Danos a maquinaria;Guayaquil;2025-10-15;2025-10-20;34703.68;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0175;POL-0049;CUST-026;Asegurado-026;VEH-035;PRV-005;Vehiculos;Perdida total por robo;Cuenca;2026-07-11;2026-07-16;4854.06;Reporte de robo en parqueadero residencial durante la noche.;False
CLM-0176;POL-0121;CUST-025;Asegurado-025;;PRV-009;Salud;Danos a maquinaria;Machala;2026-07-11;2026-07-17;23349.32;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0177;POL-0037;CUST-001;Asegurado-001;;PRV-004;Hogar;Perdida total por robo;Guayaquil;2026-05-29;2026-06-10;49179.29;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0178;POL-0082;CUST-052;Asegurado-052;;PRV-010;Vida;Gastos medicos;Quito;2025-09-30;2025-10-06;1051.28;Danos por agua reportados luego de lluvias intensas con fotografias de soporte.;False
CLM-0179;POL-0046;CUST-054;Asegurado-054;;PRV-010;Hogar;Perdida total por robo;Santo Domingo;2025-04-20;2025-04-26;22888.37;Atencion medica por emergencia con facturas y epicrisis adjuntas.;False
CLM-0180;POL-0063;CUST-060;Asegurado-060;;PRV-004;Empresarial;Robo domiciliario;Machala;2025-11-25;2025-12-12;66611.28;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0181;POL-0099;CUST-074;Asegurado-074;VEH-080;PRV-003;Vehiculos;Robo domiciliario;Loja;2026-09-17;2026-09-19;5227.26;Reporte de robo en parqueadero residencial durante la noche.;False
CLM-0182;POL-0069;CUST-083;Asegurado-083;;PRV-001;Vida;Gastos medicos;Cuenca;2026-06-30;2026-07-09;3580.43;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0183;POL-0125;CUST-013;Asegurado-013;;PRV-001;Empresarial;Danos a maquinaria;Ambato;2026-06-26;2026-06-26;1534.03;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0184;POL-0091;CUST-010;Asegurado-010;;PRV-002;Salud;Gastos medicos;Ambato;2025-05-27;2025-06-08;12292.32;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
CLM-0185;POL-0039;CUST-029;Asegurado-029;;PRV-010;Hogar;Robo domiciliario;Santo Domingo;2026-04-11;2026-04-17;27373.0;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0186;POL-0129;CUST-070;Asegurado-070;VEH-044;PRV-009;Vehiculos;Gastos medicos;Ambato;2026-02-25;2026-02-26;1071.11;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0187;POL-0106;CUST-052;Asegurado-052;;PRV-005;Empresarial;Choque parcial;Quito;2025-09-01;2025-09-07;28293.55;Accidente con tercero identificado y soporte fotografico completo.;False
CLM-0188;POL-0009;CUST-041;Asegurado-041;;PRV-002;Vida;Perdida total por robo;Machala;2025-11-09;2025-11-22;5047.65;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0189;POL-0031;CUST-057;Asegurado-057;VEH-059;PRV-006;Vehiculos;Danos a maquinaria;Quito;2026-12-14;2026-12-29;22927.48;Accidente sin tercero identificado, no hubo testigos y el reporte se realizo dias despues.;False
CLM-0190;POL-0108;CUST-081;Asegurado-081;;PRV-003;Vida;Danos a maquinaria;Quito;2026-05-11;2026-05-21;4281.75;Evento ocurrido en zona aislada durante la madrugada, sin testigos identificados.;False
